sample_id,processing_batch
S073,2020-06-17
S074,2020-06-17
S075,2020-06-17
S076,2020-06-17
S077,2020-06-17
S078,2020-06-17
S079,2020-06-17
S080,2020-06-17
S081,2020-06-17
S082,2020-06-17
S083,2020-06-17
S084,2020-06-17
S085,2020-06-17
S086,2020-06-17
S087,2020-06-17
S088,2020-06-17
S089,2020-06-17
S090,2020-06-17
S091,2020-06-18
S092,2020-06-17
S093,2020-06-17
S094,2020-06-17
S095,2020-06-17
S096,2020-06-17
S097,2020-06-17
S098,2020-06-17
S099,2020-06-17
S100,2020-06-16
S101,2020-06-16
S102,2020-06-16
S103,2020-06-16
S104,2020-06-16
S105,2020-06-16
S106,2020-06-16
S107,2020-06-16
S108,2020-06-16
S109,2020-06-16
S110,2020-06-16
S111,2020-06-16
S112,2020-04-30
S113,2020-06-16
S114,2020-06-16
S115,2020-06-16
S116,2020-06-16
S119,2020-05-04
S120,2020-05-04
S121,2020-06-16
S123,2020-06-16
S124,2020-06-16
S125,2020-06-16
S126,2020-06-16
S127,2020-06-16
S128,2020-06-16
S129,2020-06-16
S130,2020-06-16
S131,2020-06-16
S132,2020-06-16
S133,2020-06-16
S134,2020-06-16
S135,2020-06-16
S136,2020-06-16
S137,2020-06-16
S138,2020-06-16
S141,2020-05-08
S142,2020-06-16
S143,2020-05-08
S144,2020-06-16
S145,2020-05-11
S146,2020-06-16
S147,2020-06-16
S154,2020-06-16
S180,2020-06-16
S184,2020-06-16
S185,2020-06-16
S186,2020-06-16
S187,2020-06-16
S188,2020-06-16
S191,2020-06-16
S192,2020-06-16
S194,2020-06-16
S195,2020-06-16
S198,2020-06-16
S199,2020-06-16
S209,2020-06-18
S210,2020-05-29
S240,2020-06-10
S251,2020-06-15
S254,2020-06-23
S262,2020-07-02
S263,2020-07-02
S265,2020-07-02
S266,2020-07-02
S267,2020-07-02
S272,2020-07-07
S273,2020-07-07
